area,date,floor,link,orientation,pos,style,tag,title,total_price,unit_price,zx_type,
65㎡,1994年-2014年建,高层(共7层),https://zhongshan.qfang.com/sale/501866644?insource=sale_list&top=769,西南,三乡-雅居乐-,3室2厅,满两年,雅居乐逸湖居 实用户型，使用面积多，雅居乐3室2厅普通装修,60,9231元/㎡,简装,
63㎡,2003年-2008年建,高层(共11层),https://zhongshan.qfang.com/sale/502470116?insource=sale_list&top=1521,西南,沙溪-厚山广场-,3室1厅,,御隆廷 3室1厅63m2普通装修,60,9524元/㎡,简装,
60.87㎡,1985年-1995年建,高层(共5层),https://zhongshan.qfang.com/sale/502159063?insource=sale_list&top=2244,南,石岐-石岐-,4室1厅,满两年,民权路 4室1厅60.87m2普通装修,60,9857元/㎡,简装,
60.87㎡,1985年-1995年建,高层(共5层),https://zhongshan.qfang.com/sale/502159063?insource=sale_list&top=2118,南,石岐-石岐-,4室1厅,满两年,民权路 4室1厅60.87m2普通装修,60,9857元/㎡,简装,
104㎡,1999年-2014年建,高层(共7层),https://zhongshan.qfang.com/sale/502567441?insource=sale_list&top=1236,东北,三乡-金涌大道-,4室2厅,满五唯一/房本在手,吉雅花园 4室2厅104m2精装修 带车位,61,5865元/㎡,精装,
100㎡,1992年-2008年建,中层(共7层),https://zhongshan.qfang.com/sale/502365768?insource=sale_list&top=2592,西,三乡-文昌路-,3室2厅,中山市三乡镇光后中心小学/满五年/房本在手,华丰花园9区 3室2厅100m2精装修,61,6100元/㎡,精装,
98.5㎡,1993年-2013年建,中层(共7层),https://zhongshan.qfang.com/sale/500881691?insource=sale_list&top=749,西,三乡-文昌路-,3室2厅,中山市三乡镇光后中心小学/满五唯一/房本在手,华丰花园10区 交通便利，    出行方便,61,6193元/㎡,简装,
98.5㎡,1993年-2013年建,中层(共7层),https://zhongshan.qfang.com/sale/500881691?insource=sale_list&top=1401,西,三乡-文昌路-,3室2厅,中山市三乡镇光后中心小学/满五唯一/房本在手,华丰花园10区 交通便利，    出行方便,61,6193元/㎡,简装,
82㎡,2009年-2018年建,高层(共18层),https://zhongshan.qfang.com/sale/502606361?insource=sale_list&top=2157,北,神湾-神湾-,3室2厅,随时看房/满五年/电梯,德雅湾阳光海 3室2厅82m2毛坯,61,7439元/㎡,毛坯,
41.7㎡,2008年建,中层(共15层),https://zhongshan.qfang.com/sale/501761747?insource=sale_list&top=2738,南,石岐-石岐-,3室1厅,中山市石岐西厂小学/电梯,逢源公寓 3室1厅41.7m2精装修,62,14820元/㎡,精装,
104.55㎡,2003年建,高层(共7层),https://zhongshan.qfang.com/sale/502374713?insource=sale_list&top=1295,东,三乡-雅居乐-,3室2厅,中山市三乡镇载德小学/随时看房/满五年,康乐新村 3室2厅104.55m2普通装修,62,5930元/㎡,简装,
87.2㎡,2004年-2019年建,低层(共6层),https://zhongshan.qfang.com/sale/500416454?insource=sale_list&top=985,北,神湾-神湾-,3室2厅,随时看房/满两年,凝星名都 首付13万，买三房，看房有钥匙，急售,62,7110元/㎡,简装,
